# content: nitze rts polygon coordinates
# date: Mar 2022
# region: Canada and Russia
# description: Labelled by Tiffany and edited by Greg
# Version=1.0
X,Y,Id,Gen_or_Act,MatchMaxar
-118.2041003,73.00827555,55,Active,Yes
-118.2006837,72.99976295,56,Active,Yes
-118.1795959,73.00918239,57,Active,Yes
-118.1689289,73.00801282,58,Active,Yes
-118.1549012,73.00563826,59,Active,Yes
-118.1430001,73.00556118,60,Active,Yes
-118.1326559,73.00560784,61,Active,Yes
-118.124862,73.00366699,62,Active,Yes
-118.1121229,73.00315137,63,Active,Yes
-118.1167436,73.00279036,64,Active,Yes
-118.1197893,73.00399697,65,Active,Yes
-118.0968664,73.00066739,66,Active,Yes
-118.0931505,73.00011128,67,Active,Yes
-118.3357225,73.00257688,68,General,Yes
-118.3316016,73.00365472,69,Active,Yes
-118.3498833,73.01748909,70,Active,Yes
-118.3414596,73.01575979,71,Active,Yes
-118.3321061,73.01490868,72,Active,Yes
-118.1047615,73.00234208,73,Active,Yes
-118.2158947,73.04839219,74,Active,Yes
-118.1067626,73.07173332,75,Active,Yes
-118.1091991,73.07406384,76,Active,Yes
-118.0808438,73.08283589,77,Active,Yes
-118.268405,73.01983632,78,Active,Yes
-118.253219,73.01846899,79,Active,Yes
-118.1074322,73.04953162,80,Active,Yes
-118.2593259,73.07392583,81,Active,Yes
-118.1625929,73.02036192,82,Active,Yes
-119.5963927,72.86831854,83,Active,Yes
-119.4607539,72.84296827,84,Active,Yes
-119.4474163,72.86139874,85,Active,Yes
-119.5087336,72.84403036,86,Active,Yes
-119.5089801,72.84285947,87,Active,Yes
-119.5905712,72.84066136,88,Active,Yes
-119.6008862,72.84814007,89,Active,Yes
-119.6101901,72.85323987,90,Active,Yes
-119.6388722,72.84376273,91,Active,Yes
-119.6809517,72.86357912,92,Active,Yes
-119.6785481,72.86524312,93,Active,Yes
-119.668313,72.86802902,94,Active,Yes
-119.6680803,72.86885453,95,Active,Yes
-119.6614739,72.86873309,96,Active,Yes
-119.6381986,72.86801791,97,Active,Yes
-119.6392562,72.86682949,98,Active,Yes
-119.6401219,72.86739987,99,General,Yes
-119.6327289,72.86495076,100,Active,Yes
-119.6437814,72.86240431,101,Active,Yes
-119.6312411,72.86506072,102,Active,Yes
-119.6857679,72.87482668,103,Active,Yes
-119.6826496,72.85668135,104,Active,Yes
-119.6696346,72.83512261,105,Active,Yes
-119.651774,72.83492558,106,Active,Yes
-119.6534753,72.83445232,107,Active,Yes
-119.6542239,72.83378972,108,Active,Yes
-119.6577077,72.83329903,109,Active,Yes
-119.6212564,72.83482835,110,Active,Yes
-119.6205478,72.83436622,111,Active,Yes
-119.5789086,72.82707862,112,Active,Yes
-119.5778574,72.83157134,113,Active,Yes
-119.5671193,72.82013437,114,Active,Yes
-119.5588006,72.81088233,115,Active,Yes
-119.561779,72.81038372,116,Active,Yes
-119.5550275,72.81199989,117,Active,Yes
-119.5589112,72.81199666,118,Active,Yes
-119.5596253,72.8095647,119,Active,Yes
-119.5607118,72.80650828,120,Active,Yes
-119.5592242,72.80812265,121,Active,Yes
-119.5616301,72.80444048,122,Active,Yes
-119.5763153,72.80040808,123,Active,Yes
-119.5653397,72.80224005,124,Active,Yes
-119.5695096,72.80142194,125,Active,Yes
-119.6517604,72.80921682,126,Active,Yes
-119.5221404,72.838875,127,Active,Yes
-119.4321445,72.82175482,128,Active,Yes
-119.4306123,72.82301882,129,Active,Yes
-119.3963047,72.82373774,130,Active,Yes
-119.4048668,72.82356355,131,Active,Yes
-119.4004489,72.82353572,132,Active,Yes
-119.4057626,72.82390676,133,Active,Yes
-119.4001456,72.81991949,134,Active,Yes
-119.5315451,72.8037936,135,Active,Yes
-119.4080446,72.82245977,136,Active,Yes
-119.6162373,72.86339592,137,Active,Yes
-119.5684093,72.83451187,138,Active,Yes
-119.642318,72.86256153,139,Active,Yes
-139.0397468,69.55667451,140,Active,Yes
-139.0514482,69.55070615,141,Active,Yes
-139.0516507,69.5478358,142,Active,Yes
-139.0549643,69.54419522,143,Active,Yes
-139.0074426,69.57008646,144,Active,Yes
-139.0090235,69.56899993,145,Active,Yes
-139.0172361,69.56913423,146,Active,Yes
-138.9892254,69.57530125,147,General,Yes
-138.952455,69.57702119,148,Active,Yes
-138.9509478,69.57621063,149,Active,Yes
-138.9482676,69.57612427,150,Active,Yes
-138.9475175,69.57611972,151,Active,Yes
-138.9801652,69.57734873,152,Active,Yes
-138.9635382,69.57738401,153,Active,Yes
-139.0298534,69.57763182,154,General,Yes
-138.9164154,69.60318884,155,General,Yes
-138.9412509,69.57769711,156,General,Yes
-139.0519221,69.60035635,157,General,Yes
-139.091793,69.62849391,158,Active,Yes
-139.0942137,69.62775693,159,Active,Yes
-139.0886309,69.63252672,160,Active,Yes
-139.064416,69.54336757,161,Active,Yes
-139.0579538,69.54508409,162,General,Yes
-139.0584617,69.54669099,163,Active,Yes
-138.9479802,69.57862983,164,Active,Yes
-138.9282983,69.57990991,165,Active,Yes
-126.6734505,69.71083781,166,Active,Yes
-126.7022783,69.70296442,167,Active,Yes
-126.6943926,69.72931744,168,General,Yes
-126.6901429,69.72746896,169,Active,Yes
-126.6855572,69.7208352,170,Active,Yes
-126.7219427,69.72445642,171,Active,Yes
-126.7217634,69.72362398,172,General,Yes
-126.7315219,69.7245885,173,Active,Yes
-126.7296602,69.72546381,174,General,Yes
-126.7450677,69.76502933,175,Active,Yes
-126.7424689,69.7674135,176,Active,Yes
-126.7431956,69.77139365,177,Active,Yes
-126.7230584,69.75476076,178,Active,Yes
-126.7231483,69.7536317,179,Active,Yes
-126.7302838,69.75603283,180,Active,Yes
-126.7454847,69.75964792,181,Active,Yes
-126.7541143,69.75328916,182,Active,Yes
-126.7462052,69.75256736,183,General,Yes
-126.7474424,69.75172084,184,Active,Yes
-126.7578305,69.73991411,185,Active,Yes
-126.7340869,69.75185921,186,Active,Yes
-126.7277924,69.74489643,187,Active,Yes
-126.7219376,69.74017252,188,Active,Yes
-126.7395685,69.71944622,189,Active,Yes
-126.7219106,69.71819495,190,Active,Yes
-126.7336495,69.71673449,191,Active,Yes
-126.7366423,69.71445137,192,Active,Yes
-126.7582718,69.70319449,193,Active,Yes
-126.7641148,69.70980728,194,Active,Yes
-126.7658236,69.70976659,195,General,Yes
-126.7707328,69.71060248,196,General,Yes
-126.7361702,69.70846349,197,Active,Yes
-126.7313211,69.70557827,198,General,Yes
-126.7255602,69.70827887,199,Active,Yes
-126.7160437,69.71271684,200,Active,Yes
-126.7162114,69.713805,201,Active,Yes
-126.7137589,69.69638847,202,Active,Yes
-126.7154182,69.69467664,203,Active,Yes
-126.7198503,69.69470956,204,General,Yes
-126.7218275,69.69184951,205,Active,Yes
-126.7283913,69.69676617,206,General,Yes
-126.7273624,69.69570016,207,Active,Yes
-126.7092998,69.6950924,208,Active,Yes
-126.7043375,69.69743728,209,General,Yes
-126.7050004,69.69883099,210,General,Yes
-126.7198346,69.7101488,211,General,Yes
-126.7196204,69.71116178,212,General,Yes
-126.8335826,69.74677528,213,Active,Yes
-126.8257573,69.74087458,214,Active,Yes
-126.7443952,69.73698895,215,General,Yes
-126.7447215,69.73739382,216,Active,Yes
-126.7417418,69.76853463,217,Active,Yes
-126.707648,69.71329886,218,Active,Yes
-126.705811,69.72874212,219,General,Yes
-126.8097591,69.75853772,220,Active,Yes
-126.701608,69.73816051,221,Active,Yes
-126.7019235,69.73683781,222,Active,Yes
-126.7009732,69.73711137,223,General,Yes
-126.7019581,69.73748556,224,General,Yes
-126.8226659,69.76753851,225,Active,Yes
-126.7497981,69.73514877,226,Active,Yes
-126.6775825,69.69619705,227,Active,Yes
-126.6733583,69.69341546,228,Active,Yes
-126.6753853,69.6932572,229,Active,Yes
-126.6911885,69.68567501,230,Active,Yes
-126.6921366,69.68635088,231,Active,Yes
-126.6900542,69.68298555,232,Active,Yes
-126.6868337,69.68333002,233,Active,Yes
-126.6901001,69.68315713,234,General,Yes
-126.6904551,69.68125217,235,General,Yes
-126.685076,69.68062315,236,General,Yes
-126.6847497,69.68140819,237,Active,Yes
-126.6829532,69.67967075,238,General,Yes
-126.6753369,69.68121541,239,Active,Yes
-126.6650705,69.68062617,240,Active,Yes
-126.6673223,69.67939197,241,Active,Yes
-126.6689286,69.67610878,242,Active,Yes
-126.6745856,69.67654307,243,Active,Yes
-126.6732571,69.67695528,244,Active,Yes
-126.6767677,69.67809777,245,General,Yes
-126.6747234,69.67830756,246,General,Yes
-126.6728062,69.67477024,247,Active,Yes
-126.6634116,69.67567253,248,Active,Yes
-126.6656657,69.67340117,249,Active,Yes
-126.6715834,69.68170591,250,General,Yes
-126.6705498,69.68286353,251,General,Yes
-126.6464207,69.69152965,252,Active,Yes
-126.6466099,69.69074092,253,Active,Yes
-126.6491265,69.68972932,254,Active,Yes
-126.6524261,69.68933749,255,Active,Yes
-126.6513624,69.68871879,256,Active,Yes
-126.6484626,69.68486903,257,Active,Yes
-126.644511,69.68472317,258,Active,Yes
-126.6457098,69.68262503,259,Active,Yes
-126.6479464,69.68124662,260,Active,Yes
-126.64762,69.67648417,261,Active,Yes
-126.6482007,69.67354852,262,Active,Yes
-126.6512515,69.67674839,263,Active,Yes
-126.6538395,69.67762487,264,Active,Yes
-126.6514301,69.67533067,265,Active,Yes
-126.6525812,69.67509669,266,Active,Yes
-126.6485407,69.67231361,267,Active,Yes
-126.6481459,69.67294053,268,Active,Yes
-126.6543613,69.67265938,269,Active,Yes
-126.6589625,69.67261503,270,Active,Yes
-126.6519813,69.67316703,271,Active,Yes
-126.6487136,69.67153546,272,General,Yes
-126.6512257,69.67099453,273,Active,Yes
-126.6322241,69.649327,274,Active,Yes
-126.6500024,69.66804124,275,Active,Yes
-126.6513911,69.66897849,276,Active,Yes
-126.633613,69.6590335,277,Active,Yes
-126.6390347,69.6595894,278,General,Yes
-126.6395602,69.66079391,279,General,Yes
-126.6377714,69.65357806,280,Active,Yes
-126.6225262,69.64943224,281,Active,Yes
-126.6105186,69.64407052,282,General,Yes
-126.5995962,69.64528678,283,Active,Yes
-126.5924053,69.65033754,284,Active,Yes
-126.5868576,69.65483984,285,Active,Yes
-126.5860445,69.65535304,286,Active,Yes
-126.5838475,69.64438718,287,Active,Yes
-126.6718341,69.65842888,288,Active,Yes
-126.6645874,69.66356824,289,General,Yes
-126.6262765,69.64886119,290,General,Yes
-126.5895195,69.65198337,291,Active,Yes
-126.5897631,69.65082294,292,Active,Yes
-126.6010753,69.64491185,293,General,Yes
-126.5856965,69.64468468,294,General,Yes
-126.5650509,69.62936148,295,General,Yes
-126.5607903,69.63311304,296,Active,Yes
-126.5570514,69.63404482,297,Active,Yes
-126.5845341,69.63851119,298,Active,Yes
-126.5833266,69.63756997,299,General,Yes
-126.5789446,69.6381637,300,Active,Yes
-126.6129523,69.63902122,301,General,Yes
-126.6321269,69.64238052,302,General,Yes
-126.6457737,69.66509516,303,Active,Yes
-126.5482786,69.62957769,304,General,Yes
-126.5257322,69.62097013,305,Active,Yes
-126.6129986,69.62756446,306,Active,Yes
-126.6678637,69.68287044,307,General,Yes
-126.5318933,69.63047135,308,Active,Yes
-126.6329538,69.65663419,309,General,Yes
-126.6346458,69.6549851,310,General,Yes
-126.5867028,69.63842841,311,General,Yes
48.31123869,69.22747078,312,Active,Yes
48.31359932,69.2314629,313,Active,Yes
48.31436461,69.23479566,314,Active,Yes
48.43003958,69.33019577,315,Active,Yes
48.4354235,69.33341188,316,Active,Yes
48.45267981,69.34233504,317,Active,Yes
48.45976292,69.3471743,318,Active,Yes
48.46688073,69.34923927,319,Active,Yes
48.4682894,69.35067881,320,Active,Yes
48.47325249,69.35232548,321,Active,Yes
48.55654738,69.3904713,322,Active,Yes
48.55520861,69.38976933,323,Active,Yes
48.3935334,69.30805801,324,Active,Yes
48.38925954,69.30555365,325,Active,Yes
48.39835097,69.31102227,326,Active,Yes
48.40269628,69.31363601,327,Active,Yes
48.40779071,69.31632622,328,Active,Yes
48.41383647,69.31968545,329,Active,Yes
48.46111816,69.347469,330,Active,Yes
48.39999553,69.31250955,331,Active,Yes
48.38999727,69.30605682,332,Active,Yes
48.3959333,69.3096567,333,Active,Yes
48.4414822,69.3363394,334,General,Yes
48.54850428,69.38738375,335,Active,Yes
48.54702997,69.38641447,336,General,Yes
124.4619354,69.13352445,337,General,Yes
124.464346,69.08658945,338,General,Yes
124.5169023,69.09715867,339,General,Yes
124.3599783,69.09890463,340,General,Yes
124.4615287,69.13889337,341,General,Yes
124.4347301,69.14877464,342,General,Yes
-133.8515421,69.16300077,343,General,Yes
-133.7949472,69.1500516,344,General,Yes
-133.7918268,69.14933307,345,General,Yes
-133.8005102,69.151209,346,General,Yes
-133.8220008,69.14974551,347,General,Yes
-133.8143468,69.15217496,348,General,Yes
-133.8169714,69.15159568,349,General,Yes
-133.8554439,69.16347695,350,General,Yes
-133.7940634,69.12466582,351,General,Yes
-133.7895654,69.12491264,352,General,Yes
-133.7849089,69.12407433,353,General,Yes
-133.875322,69.16910892,354,General,Yes
-133.8205356,69.0903741,355,General,Yes
-133.8189551,69.09149018,356,General,Yes
-133.7548636,69.15226672,357,General,Yes
-133.7934833,69.16005862,358,General,Yes
-133.7804118,69.1007256,359,General,Yes
-133.9027819,69.10876011,360,General,Yes
-133.9121744,69.10937379,361,General,Yes
-133.7786325,69.15684302,362,General,Yes
-133.7787177,69.15572089,363,General,Yes
-133.7553194,69.13381916,364,General,Yes
-133.855884,69.09301025,365,General,Yes
-133.8177272,69.09225111,366,General,Yes
-133.8063323,69.08948828,367,General,Yes
-119.5460056,72.87266852,368,Active,Yes
-119.6937725,72.84238596,369,Active,Yes
-119.4803228,72.82158759,370,Active,Yes
-119.4735728,72.82307236,371,Active,Yes
-119.4754142,72.82246516,372,Active,Yes
-119.5922177,72.86782674,373,Active,Yes
-119.6435651,72.86263929,374,General,Yes
-139.0546245,69.54455473,375,Active,Yes
-139.0249433,69.56471073,376,Active,Yes
-138.9631676,69.57709092,377,General,Yes
-138.9668699,69.5770265,378,General,Yes
-139.0944568,69.62793397,379,General,Yes
-126.7222825,69.72395476,380,General,Yes
-126.7445712,69.77303232,381,Active,Yes
-126.7222482,69.75266057,382,Active,Yes
-126.7594634,69.71040996,383,General,Yes
-126.761906,69.71036786,384,General,Yes
-126.7274139,69.69343068,385,Active,Yes
-126.7287462,69.69417019,386,General,Yes
-126.7221618,69.69288835,387,General,Yes
-126.7010178,69.73887819,388,Active,Yes
-126.6896244,69.68510035,389,General,Yes
-126.6471296,69.68397861,390,General,Yes
-126.649576,69.67814603,391,General,Yes
-126.6483751,69.67722331,392,General,Yes
-126.6478584,69.67569203,393,General,Yes
48.41749625,69.32117036,394,Active,Yes
-139.0280203,69.57755949,395,Active,Yes
-139.0308531,69.57729534,396,Active,Yes
-126.6132224,69.64453735,397,Active,Yes
