# content: nitze rts polygon coordinates
# date: Mar 2022
# region: Canada and Russia
# description: Labelled by Tiffany and edited by Greg
# Version=1.0
OID_,Id,Gen_or_Act,MatchMaxar,X,Y
223,223,General,Yes,-126.700973210000001,69.737111369999994
224,224,General,Yes,-126.701958120000000,69.737485559999996
225,225,Active,Yes,-126.822665869999994,69.767538509999994
226,226,Active,Yes,-126.749798080000005,69.735148769999995
227,227,Active,Yes,-126.677582450000003,69.696197049999995
228,228,Active,Yes,-126.673358329999999,69.693415459999997
229,229,Active,Yes,-126.675385300000002,69.693257200000005
230,230,Active,Yes,-126.691188510000003,69.685675009999997
231,231,Active,Yes,-126.692136579999996,69.686350880000006
232,232,Active,Yes,-126.690054230000001,69.682985549999998
233,233,Active,Yes,-126.686833739999997,69.683330020000000
234,234,General,Yes,-126.690100090000001,69.683157129999998
235,235,General,Yes,-126.690455090000000,69.681252169999993
236,236,General,Yes,-126.685076039999998,69.680623150000002
237,237,Active,Yes,-126.684749719999999,69.681408189999999
238,238,General,Yes,-126.682953240000003,69.679670750000000
239,239,Active,Yes,-126.675336939999994,69.681215409999993
240,240,Active,Yes,-126.665070549999996,69.680626169999996
241,241,Active,Yes,-126.667322290000001,69.679391969999998
242,242,Active,Yes,-126.668928609999995,69.676108780000007
243,243,Active,Yes,-126.674585629999996,69.676543069999994
244,244,Active,Yes,-126.673257050000004,69.676955280000001
245,245,General,Yes,-126.676767749999996,69.678097769999994
246,246,General,Yes,-126.674723369999995,69.678307559999993
247,247,Active,Yes,-126.672806240000000,69.674770240000001
248,248,Active,Yes,-126.663411640000007,69.675672530000000
249,249,Active,Yes,-126.665665709999999,69.673401170000005
250,250,General,Yes,-126.671583400000003,69.681705910000005
251,251,General,Yes,-126.670549809999997,69.682863530000006
252,252,Active,Yes,-126.646420730000003,69.691529650000007
253,253,Active,Yes,-126.646609920000003,69.690740919999996
254,254,Active,Yes,-126.649126469999999,69.689729319999998
255,255,Active,Yes,-126.652426149999997,69.689337490000000
256,256,Active,Yes,-126.651362419999998,69.688718789999996
257,257,Active,Yes,-126.648462559999999,69.684869030000002
258,258,Active,Yes,-126.644511010000002,69.684723169999998
259,259,Active,Yes,-126.645709810000000,69.682625029999997
260,260,Active,Yes,-126.647946390000001,69.681246619999996
261,261,Active,Yes,-126.647620040000007,69.676484169999995
262,262,Active,Yes,-126.648200729999999,69.673548519999997
263,263,Active,Yes,-126.651251529999996,69.676748390000000
264,264,Active,Yes,-126.653839469999994,69.677624870000002
265,265,Active,Yes,-126.651430149999996,69.675330669999994
266,266,Active,Yes,-126.652581240000004,69.675096690000004
267,267,Active,Yes,-126.648540749999995,69.672313610000003
268,268,Active,Yes,-126.648145909999997,69.672940530000005
269,269,Active,Yes,-126.654361330000000,69.672659379999999
270,270,Active,Yes,-126.658962470000006,69.672615030000003
271,271,Active,Yes,-126.651981300000003,69.673167030000002
272,272,General,Yes,-126.648713630000003,69.671535460000001
273,273,Active,Yes,-126.651225740000001,69.670994530000002
274,274,Active,Yes,-126.632224100000002,69.649327000000000
275,275,Active,Yes,-126.650002400000005,69.668041239999994
276,276,Active,Yes,-126.651391110000006,69.668978490000001
277,277,Active,Yes,-126.633613010000005,69.659033500000007
278,278,General,Yes,-126.639034690000003,69.659589400000002
279,279,General,Yes,-126.639560239999994,69.660793909999995
280,280,Active,Yes,-126.637771380000004,69.653578060000001
281,281,Active,Yes,-126.622526210000004,69.649432239999996
282,282,General,Yes,-126.610518639999995,69.644070520000000
283,283,Active,Yes,-126.599596190000000,69.645286780000006
284,284,Active,Yes,-126.592405290000002,69.650337539999995
285,285,Active,Yes,-126.586857609999996,69.654839839999994
286,286,Active,Yes,-126.586044540000003,69.655353039999994
287,287,Active,Yes,-126.583847469999995,69.644387179999995
288,288,Active,Yes,-126.671834059999995,69.658428880000002
289,289,General,Yes,-126.664587409999996,69.663568240000004
290,290,General,Yes,-126.626276520000005,69.648861190000005
291,291,Active,Yes,-126.589519469999999,69.651983369999996
292,292,Active,Yes,-126.589763079999997,69.650822939999998
293,293,General,Yes,-126.601075300000005,69.644911850000000
294,294,General,Yes,-126.585696479999996,69.644684679999997
295,295,General,Yes,-126.565050909999997,69.629361480000000
296,296,Active,Yes,-126.560790260000005,69.633113039999998
297,297,Active,Yes,-126.557051389999998,69.634044820000000
298,298,Active,Yes,-126.584534140000002,69.638511190000003
299,299,General,Yes,-126.583326580000005,69.637569970000001
300,300,Active,Yes,-126.578944629999995,69.638163700000007
301,301,General,Yes,-126.612952289999996,69.639021220000004
302,302,General,Yes,-126.632126869999993,69.642380520000003
303,303,Active,Yes,-126.645773710000000,69.665095160000007
304,304,General,Yes,-126.548278589999995,69.629577690000005
305,305,Active,Yes,-126.525732210000001,69.620970130000003
306,306,Active,Yes,-126.612998610000005,69.627564460000002
307,307,General,Yes,-126.667863729999993,69.682870440000002
308,308,Active,Yes,-126.531893339999996,69.630471349999993
309,309,General,Yes,-126.632953790000002,69.656634190000005
310,310,General,Yes,-126.634645809999995,69.654985100000005
311,311,General,Yes,-126.586702759999994,69.638428410000003
312,312,Active,Yes,48.311238690000003,69.227470780000004
313,313,Active,Yes,48.313599320000002,69.231462899999997
314,314,Active,Yes,48.314364609999998,69.234795660000003
315,315,Active,Yes,48.430039579999999,69.330195770000003
316,316,Active,Yes,48.435423499999999,69.333411880000000
317,317,Active,Yes,48.452679809999999,69.342335039999995
318,318,Active,Yes,48.459762920000003,69.347174300000006
319,319,Active,Yes,48.466880730000000,69.349239269999998
320,320,Active,Yes,48.468289400000003,69.350678810000005
321,321,Active,Yes,48.473252490000000,69.352325480000005
322,322,Active,Yes,48.556547379999998,69.390471300000002
323,323,Active,Yes,48.555208610000001,69.389769329999993
324,324,Active,Yes,48.393533400000003,69.308058009999996
325,325,Active,Yes,48.389259539999998,69.305553649999993
326,326,Active,Yes,48.398350970000003,69.311022269999995
327,327,Active,Yes,48.402696280000001,69.313636009999996
328,328,Active,Yes,48.407790710000000,69.316326219999993
329,329,Active,Yes,48.413836470000000,69.319685449999994
330,330,Active,Yes,48.461118159999998,69.347469000000004
331,331,Active,Yes,48.399995529999998,69.312509550000001
332,332,Active,Yes,48.389997270000002,69.306056819999995
333,333,Active,Yes,48.395933300000003,69.309656700000005
334,334,General,Yes,48.441482200000003,69.336339400000000
335,335,Active,Yes,48.548504280000003,69.387383749999998
336,336,General,Yes,48.547029969999997,69.386414470000005
337,337,General,Yes,124.461935420000003,69.133524449999996
338,338,General,Yes,124.464346010000000,69.086589450000005
339,339,General,Yes,124.516902279999996,69.097158669999999
340,340,General,Yes,124.359978310000002,69.098904630000007
341,341,General,Yes,124.461528659999999,69.138893370000005
342,342,General,Yes,124.434730119999998,69.148774639999999
343,343,General,Yes,-133.851542139999992,69.163000769999996
344,344,General,Yes,-133.794947199999996,69.150051599999998
345,345,General,Yes,-133.791826810000003,69.149333069999997
346,346,General,Yes,-133.800510209999999,69.151208999999994
347,347,General,Yes,-133.822000809999992,69.149745510000002
348,348,General,Yes,-133.814346809999989,69.152174959999996
349,349,General,Yes,-133.816971400000000,69.151595680000000
350,350,General,Yes,-133.855443949999994,69.163476950000003
351,351,General,Yes,-133.794063410000007,69.124665820000004
352,352,General,Yes,-133.789565439999990,69.124912640000005
353,353,General,Yes,-133.784908910000013,69.124074329999999
354,354,General,Yes,-133.875322019999999,69.169108919999999
355,355,General,Yes,-133.820535629999995,69.090374100000005
356,356,General,Yes,-133.818955050000000,69.091490179999994
357,357,General,Yes,-133.754863569999998,69.152266720000000
358,358,General,Yes,-133.793483339999995,69.160058620000001
359,359,General,Yes,-133.780411770000001,69.100725600000004
360,360,General,Yes,-133.902781860000005,69.108760110000006
361,361,General,Yes,-133.912174399999998,69.109373790000006
362,362,General,Yes,-133.778632509999994,69.156843019999997
363,363,General,Yes,-133.778717749999998,69.155720889999998
364,364,General,Yes,-133.755319380000003,69.133819160000002
365,365,General,Yes,-133.855884029999999,69.093010250000006
366,366,General,Yes,-133.817727209999987,69.092251110000007
367,367,General,Yes,-133.806332300000008,69.089488279999998
368,368,Active,Yes,-119.546005620000003,72.872668520000005
369,369,Active,Yes,-119.693772480000007,72.842385960000001
370,370,Active,Yes,-119.480322830000006,72.821587589999993
371,371,Active,Yes,-119.473572849999996,72.823072359999998
372,372,Active,Yes,-119.475414180000001,72.822465159999993
373,373,Active,Yes,-119.592217660000003,72.867826739999998
374,374,General,Yes,-119.643565089999996,72.862639290000004
375,375,Active,Yes,-139.054624520000004,69.544554730000002
376,376,Active,Yes,-139.024943339999993,69.564710730000002
377,377,General,Yes,-138.963167629999987,69.577090920000003
378,378,General,Yes,-138.966869910000014,69.577026500000002
379,379,General,Yes,-139.094456799999989,69.627933970000001
380,380,General,Yes,-126.722282539999995,69.723954759999998
381,381,Active,Yes,-126.744571239999999,69.773032319999999
382,382,Active,Yes,-126.722248219999997,69.752660570000003
383,383,General,Yes,-126.759463400000001,69.710409960000007
384,384,General,Yes,-126.761906030000006,69.710367860000005
385,385,Active,Yes,-126.727413920000004,69.693430680000006
386,386,General,Yes,-126.728746150000006,69.694170189999994
387,387,General,Yes,-126.722161779999993,69.692888350000004
388,388,Active,Yes,-126.701017840000006,69.738878189999994
389,389,General,Yes,-126.689624420000001,69.685100349999999
390,390,General,Yes,-126.647129640000003,69.683978609999997
391,391,General,Yes,-126.649576039999999,69.678146029999994
392,392,General,Yes,-126.648375060000006,69.677223310000002
393,393,General,Yes,-126.647858400000004,69.675692029999993
394,394,Active,Yes,48.417496249999999,69.321170359999996
395,395,Active,Yes,-139.028020300000009,69.577559489999999
396,396,Active,Yes,-139.030853070000006,69.577295340000006
397,397,Active,Yes,-126.613222449999995,69.644537349999993
